enrollment_id,user_id,course_id,enrollment_date
1,443,21,2023-09-02
2,867,45,2022-02-19
3,598,35,2023-04-13
4,229,42,2022-08-24
5,260,26,2022-08-14
6,601,39,2023-11-16
7,355,16,2023-06-29
8,275,7,2023-05-26
9,655,30,2023-05-15
10,784,17,2023-08-04
11,253,13,2023-07-11
12,768,21,2022-06-02
13,112,50,2022-06-01
14,726,37,2022-03-19
15,453,9,2022-11-09
16,630,11,2023-04-06
17,297,38,2023-10-06
18,432,17,2023-10-10
19,214,33,2023-11-12
20,457,44,2023-05-06
21,180,41,2023-12-26
22,956,13,2023-12-04
23,804,28,2022-10-18
24,13,40,2024-01-17
25,274,9,2022-07-17
26,59,2,2023-12-15
27,237,32,2022-05-03
28,805,46,2022-12-26
29,409,17,2023-05-29
30,926,22,2023-05-25
31,138,50,2022-07-26
32,948,26,2022-09-06
33,446,5,2023-10-18
34,946,34,2023-01-28
35,244,27,2023-04-09
36,251,47,2022-09-18
37,276,27,2023-03-16
38,651,32,2022-01-11
39,90,5,2022-03-02
40,767,24,2023-08-02
41,521,4,2023-10-28
42,267,20,2023-05-22
43,629,33,2022-10-29
44,621,3,2022-01-30
45,803,42,2022-03-22
46,803,40,2023-02-16
47,710,37,2022-06-02
48,430,47,2023-01-18
49,984,6,2024-01-29
50,279,20,2023-02-15
51,379,1,2022-10-11
52,286,29,2023-09-27
53,860,48,2022-07-15
54,154,38,2023-07-01
55,203,47,2023-03-15
56,77,25,2023-11-13
57,301,22,2022-08-15
58,454,35,2024-01-31
59,802,24,2022-06-26
60,827,39,2024-01-27
61,185,50,2023-09-13
62,659,5,2022-05-27
63,997,37,2023-09-22
64,49,9,2023-05-11
65,629,36,2022-10-30
66,1000,27,2023-06-27
67,83,34,2024-01-04
68,754,44,2022-10-27
69,801,40,2022-03-24
70,562,9,2023-08-12
71,764,48,2022-07-17
72,375,33,2023-04-12
73,857,45,2023-08-23
74,411,43,2022-11-22
75,581,37,2023-08-29
76,755,1,2022-01-21
77,240,24,2022-10-27
78,162,46,2023-11-25
79,934,46,2024-01-07
80,416,24,2023-11-01
81,438,41,2023-12-31
82,428,32,2022-06-21
83,245,27,2023-11-06
